"Domestic City","GAL City","Country","Country Code","State","GAL City Code"
"Abhiramapuram","","India","IND","Jharkhand",""
"Abhiramapuram","","India","IND","Jharkhand",""
"Abohar","","India","IND","Punjab",""
"Abohar","","India","IND","Punjab",""
"Abu Road","","India","IND","Rajasthan",""
"Abu Road","","India","IND","Rajasthan",""
"Acharapakkam","","India","IND","Tamil Nadu",""
"Acharapakkam","","India","IND","Tamil Nadu",""
"Achrol","","India","IND","Rajasthan",""
"Achrol","","India","IND","Rajasthan",""
"Adilabad","","India","IND","Telangana",""
"Adilabad","","India","IND","Telangana",""
"Adoni","","India","IND","Andhra Pradesh",""
"Adoni","","India","IND","Andhra Pradesh",""
"Adoor","","India","IND","Kerala",""
"Adoor","","India","IND","Kerala",""
"Agartala","","India","IND","Tripura",""
"Agartala","","India","IND","Tripura",""
"Agra","","India","IND","Uttar Pradesh",""
"Agra","","India","IND","Uttar Pradesh",""
"Agumbe","","India","IND","Karnataka",""
"Agumbe","","India","IND","Karnataka",""
"Ahmedabad","","India","IND","Gujarat",""
"Ahmedabad","","India","IND","Gujarat",""
"Ahmednagar","","India","IND","Maharashtra",""
"Ahmednagar","","India","IND","Maharashtra",""
"Aizawl","","India","IND","Mizoram",""
"Aizawl","","India","IND","Mizoram",""
"Ajmer","","India","IND","Rajasthan",""
"Ajmer","","India","IND","Rajasthan",""
"Akola","","India","IND","Maharashtra",""
"Akola","","India","IND","Maharashtra",""
"Akola - Up","","India","IND","Uttar Pradesh",""
"Akola - Up","","India","IND","Uttar Pradesh",""
"Alandi","","India","IND","Maharashtra",""
"Alandi","","India","IND","Maharashtra",""
"Alappuzha","","India","IND","Kerala",""
"Alappuzha","","India","IND","Kerala",""
"Alibaug","","India","IND","Maharashtra",""
"Alibaug","","India","IND","Maharashtra",""
"Aligarh","","India","IND","Uttar Pradesh",""
"Aligarh","","India","IND","Uttar Pradesh",""
"Alipura","","India","IND","Madhya Pradesh",""
"Alipura","","India","IND","Madhya Pradesh",""
"Alipurduar","","India","IND","West Bengal",""
"Alipurduar","","India","IND","West Bengal",""
"Alirajpur","","India","IND","Madhya Pradesh",""
"Alirajpur","","India","IND","Madhya Pradesh",""
"Allahabad","","India","IND","Uttar Pradesh",""
"Allahabad","","India","IND","Uttar Pradesh",""
"Alleppey","","India","IND","Kerala",""
"Alleppey","","India","IND","Kerala",""
"Almora","","India","IND","Uttaranchal",""
"Almora","","India","IND","Uttaranchal",""
"Along","","India","IND","Arunachal Pradesh",""
"Along","","India","IND","Arunachal Pradesh",""
"Alsisar","","India","IND","Rajasthan",""
"Alsisar","","India","IND","Rajasthan",""
"Alwar","","India","IND","Rajasthan",""
"Alwar","","India","IND","Rajasthan",""
"Amalapuram","","India","IND","Andhra Pradesh",""
"Amalapuram","","India","IND","Andhra Pradesh",""
"Amarkantak","","India","IND","Madhya Pradesh",""
"Amarkantak","","India","IND","Madhya Pradesh",""
"Ambaji","","India","IND","Gujarat",""
"Ambaji","","India","IND","Gujarat",""
"Ambala","","India","IND","Haryana",""
"Ambala","","India","IND","Haryana",""
"Ambedkar Nagar","","India","IND","Uttar Pradesh",""
"Ambedkar Nagar","","India","IND","Uttar Pradesh",""
"Ambegaon","","India","IND","Maharashtra",""
"Ambegaon","","India","IND","Maharashtra",""
"Ambikapur","","India","IND","Chhattisgarh",""
"Ambikapur","","India","IND","Chhattisgarh",""
"Amboli","","India","IND","Maharashtra",""
"Amboli","","India","IND","Maharashtra",""
"Ambur","","India","IND","Tamil Nadu",""
"Ambur","","India","IND","Tamil Nadu",""
"Amethi","","India","IND","Uttar Pradesh",""
"Amethi","","India","IND","Uttar Pradesh",""
"Amla","","India","IND","Madhya Pradesh",""
"Amla","","India","IND","Madhya Pradesh",""
"Amravati","","India","IND","Maharashtra",""
"Amravati","","India","IND","Maharashtra",""
"Amreli","","India","IND","Gujarat",""
"Amreli","","India","IND","Gujarat",""
"Amritsar","","India","IND","Punjab",""
"Amritsar","","India","IND","Punjab",""
"Amroha","","India","IND","Uttar Pradesh",""
"Amroha","","India","IND","Uttar Pradesh",""
"Anakapalle","","India","IND","Andhra Pradesh",""
"Anakapalle","","India","IND","Andhra Pradesh",""
"Anand","","India","IND","Gujarat",""
"Anand","","India","IND","Gujarat",""
"Anandapur","","India","IND","Orissa",""
"Anandapur","","India","IND","Orissa",""
