"Domestic City","GAL City","Country","Country Code","State","GAL City Code"
"","Agatti Island","","","","AGX"
"","Bagdogra","","","","IXB"
"","Balurghat","","","","RGH"
"","Bengaluru","","","","BLR"
"","Bhubaneswar","","","","BBI"
"","Bombay","","","","BOM"
"","Car Nicobar","","","","CBD"
"","Cuddapah","","","","CDP"
"","Daparizo","","","","DAE"
"","Dehra Dun","","","","DED"
"","Delhi","","","","DEL"
"","Dharamsala","","","","DHM"
"","Diu In","","","","DIU"
"","Gauhati","","","","GAU"
"","Gawahati","","","","GAU"
"","Goa In","","","","GOI"
"","Kailashahar","","","","IXH"
"","Kamalpur","","","","IXQ"
"","Kandla","","","","IXY"
"","Keshod","","","","IXK"
"","Kochi","","","","COK"
"","Kozhikode","","","","CCJ"
"","Kulu","","","","KUU"
"","Leh IN","","","","IXL"
"","Lilabari","","","","IXI"
"","Malda","","","","LDA"
"","Muzzafarpu","","","","MZU"
"","Nasik","","","","ISK"
"","Pasighat","","","","IXT"
"","Rae Bareli","","","","BEK"
"","Rupsi","","","","RUP"
"","Satna Airport","","","","TNI"
"","Sholapur","","","","SSE"
"","Simla","","","","SLV"
"","Tezu","","","","TEI"
"","Tiruchirappali","","","","TRZ"
"","Vishakhapatanam","","","","VTZ"
"","Zero","","","","ZER"
"","khowai","","","","IXN"
